,full_name,birth_date,born,height,weight,nationality,position,shoots,college,high_school,career_length,link,G,PTS,AST,FG%,FT%,WS,TRB,PER,eFG%,FG3%
13,Simmie Hill,"November 14,1946","Midland,Pennsylvaniaus",201,105,us,Small Forward,Right,"Colleges:Wichita State,Cameron University,West Texas A&M University","Midland in Midland,Pennsylvania",4 years,https://www.basketball-reference.com/players/h/hillsi01.html,252.0,9.7,1.3,43.2,76.3,6.9,5.3,11.4,44.0,29.3
14,Mickaël Piétrus,"February 7,1982","Les Abymes,Guadeloupegp",198,97,gp,"Small Forward, Shooting Guard, and Point Guard",Right,,,10 years,https://www.basketball-reference.com/players/p/pietrmi01.html,557.0,8.3,0.8,42.5,66.5,19.7,3.1,11.6,51.4,35.5
15,Negele Knight,"March 6,1967","Detroit,Michiganus",185,79,us,Point Guard,Right,Dayton,"Saint Martin de Porres in Detroit,Michigan",6 years,https://www.basketball-reference.com/players/k/knighne01.html,276.0,6.2,2.8,43.6,73.0,4.2,1.3,11.3,44.4,26.3
16,Victor Alexander,"August 31,1969","Detroit,Michiganus",206,120,us,Center,Right,Iowa State,"Denby in Detroit,Michigan",5 years,https://www.basketball-reference.com/players/a/alexavi01.html,286.0,8.9,0.9,51.8,63.4,8.8,4.8,13.7,52.2,28.6
17,Nate Johnston,"December 18,1966","Birmingham,Alabamaus",203,95,us,Small Forward and Power Forward,Right,University of Tampa,"Belle Glade in Belle Glade,Florida",1 year,https://www.basketball-reference.com/players/j/johnsna01.html,21.0,2.2,0.0,37.5,69.2,0.1,1.1,14.1,38.5,25.0
18,Geoff Crompton,"July 4,1955","Burlington,North Carolinaus",211,127,us,Center,Right,UNC,"Walter Williams in Burlington,North Carolina",5 years,https://www.basketball-reference.com/players/c/crompge01.html,82.0,1.2,0.3,37.0,44.2,-0.1,1.7,5.6,37.0,
19,Jim Neal,"May 21,1930","Silverstreet,South Carolinaus",211,106,us,Center,Right,Wofford College,"Silverstreet in Silverstreet,South Carolina",2 years,https://www.basketball-reference.com/players/n/nealji01.html,80.0,4.4,0.4,30.1,60.1,0.1,3.8,8.2,,
20,Mal Graham,"February 23,1945","Parrott,Georgiaus",185,83,us,Point Guard,Right,NYU,"White Plains in White Plains,New York",2 years,https://www.basketball-reference.com/players/g/grahama01.html,70.0,4.7,1.1,39.8,65.7,0.8,1.7,8.3,,
21,Grant Gondrezick,"January 19,1963","Boulder,Coloradous",196,92,us,Shooting Guard,Right,Pepperdine,"Boulder in Boulder,Colorado",2 years,https://www.basketball-reference.com/players/g/gondrgr01.html,91.0,5.0,1.3,43.8,68.7,0.8,1.6,11.1,44.7,25.0
22,Kenny Satterfield,"April 10,1981","New York,New Yorkus",188,84,us,Point Guard,Right,Cincinnati,"Rice in New York,New York",2 years,https://www.basketball-reference.com/players/s/satteke01.html,75.0,4.3,2.3,33.5,74.6,-1.1,1.3,8.3,35.1,21.8
23,Rowland Garrett,"July 16,1950","Canton,Mississippius",198,95,us,Small Forward,Right,Florida State,"Rogers in Canton,Mississippi",5 years,https://www.basketball-reference.com/players/g/garrero01.html,263.0,5.1,0.4,44.1,77.2,5.4,2.3,13.4,,
24,Charles Dudley,"March 5,1950","Harrisburg,Pennsylvaniaus",188,81,us,Point Guard,Right,Washington,"John Harris in Harrisburg,Pennsylvania",6 years,https://www.basketball-reference.com/players/d/dudlech01.html,361.0,5.3,3.4,49.7,67.2,14.0,3.0,14.0,,
25,Gigi Datome,"November 27,1987","Montebelluna,Italyit",203,97,it,Small Forward,Right,,,2 years,https://www.basketball-reference.com/players/d/datomlu01.html,55.0,3.4,0.4,41.4,81.8,0.3,1.4,11.3,48.1,31.6
26,Malcolm Mackey,"July 11,1970","Chattanooga,Tennesseeus",206,112,us,Center,Right,Georgia Tech,"Brainerd in Chattanooga,Tennessee",1 year,https://www.basketball-reference.com/players/m/mackema01.html,22.0,1.5,0.0,37.8,50.0,0.1,1.1,12.6,37.8,0.0
27,Erick Dampier,"July 14,1975","Jackson,Mississippius",211,120,us,Center,Right,Mississippi State,"Lawrence County in Monticello,Mississippi",16 years,https://www.basketball-reference.com/players/d/dampier01.html,987.0,7.4,0.8,49.8,62.6,52.7,7.1,14.3,49.8,12.5
28,Myles Powell,"July 7,1997","Trenton,New Jerseyus",188,88,us,Point Guard,Right,Seton Hall,"High Schools:Medford Tech in Medford,New Jersey, Trenton Catholic in Trenton,New Jersey, South Kent School in South Kent,Connecticut",1 year,https://www.basketball-reference.com/players/p/powelmy01.html,11.0,1.2,0.3,29.4,100.0,-0.1,0.5,0.2,32.4,16.7
29,Cameron Payne,"August 8,1994","Memphis,Tennesseeus",188,83,us,Point Guard and Shooting Guard,Left,Murray State,"Lausanne Collegiate School in Memphis,Tennessee",,https://www.basketball-reference.com/players/p/payneca01.html,499.0,7.7,3.2,41.7,83.7,14.8,2.0,13.4,50.0,36.6
